Date,series ,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02-Jul-25,EQ,651.95,653.05,645.3,649.65,649.35,650.65,649.2,658.5,473.9,"20,40,292","1,32,45,63,522.70","33,741"
01-Jul-25,EQ,645.7,653.75,639.55,643.45,650.3,649.65,646.65,658.5,473.9,"24,96,658","1,61,44,68,828.50","43,037"
30-Jun-25,EQ,630,646,628.35,626.8,643.55,643.45,641.74,658.5,473.9,"23,41,558","1,50,26,60,226.25","47,801"
27-Jun-25,EQ,638,642,625.6,635.95,628.4,626.8,631.65,658.5,473.9,"24,16,450","1,52,63,52,357.30","48,998"
26-Jun-25,EQ,622.5,637.7,618.6,620.7,634,635.95,629.95,658.5,473.9,"24,03,993","1,51,43,91,761.95","53,948"
25-Jun-25,EQ,627,630.65,618.6,623.3,620.9,620.7,622.04,658.5,473.9,"13,64,294","84,86,51,277.60","31,460"
24-Jun-25,EQ,628,631.9,618,617.25,624.8,623.3,625,658.5,473.9,"27,44,554","1,71,53,55,160.05","40,866"
23-Jun-25,EQ,614,621.95,611.5,615.65,617.05,617.25,617.43,658.5,473.9,"18,75,657","1,15,80,79,915.50","40,994"
20-Jun-25,EQ,619,624.5,614.4,615.15,615,615.65,618.49,658.5,473.9,"14,00,181","86,59,91,772.95","29,984"
19-Jun-25,EQ,626,626,612.55,628.65,615,615.15,615.44,658.5,473.9,"46,23,484","2,84,54,95,975.50","80,038"
18-Jun-25,EQ,633.05,633.05,622.5,634.05,627.5,628.65,626.93,658.5,473.9,"11,13,256","69,79,34,405.55","36,172"
17-Jun-25,EQ,634,642,630.65,632.7,631,634.05,635.72,658.5,473.9,"16,32,394","1,03,77,43,001.30","29,164"
16-Jun-25,EQ,624.95,635,621.6,624.85,632.5,632.7,626.62,658.5,473.9,"41,68,719","2,61,21,88,486.40","34,831"
13-Jun-25,EQ,609.6,629.9,606,625.1,625.4,624.85,622.84,658.5,473.9,"38,73,962","2,41,28,76,435.90","50,007"
12-Jun-25,EQ,626,629.5,624.25,625,625,625.1,625.37,658.5,473.9,"22,03,171","1,37,77,99,084.05","27,186"
11-Jun-25,EQ,628.75,630.95,617.55,628.75,625.2,625,626.07,658.5,473.9,"47,00,658","2,94,29,62,983.55","31,814"
10-Jun-25,EQ,637.15,637.2,622.5,651.8,629,628.75,627.64,658.5,473.9,"67,45,778","4,23,39,10,442.30","84,162"
09-Jun-25,EQ,643,653.2,638.45,634.05,653.2,651.8,648.16,658.5,473.9,"42,39,222","2,74,76,88,179.20","55,520"
06-Jun-25,EQ,632.5,639,624.5,629.7,635.5,634.05,633.04,658.5,473.9,"35,43,484","2,24,31,68,849.50","73,498"
05-Jun-25,EQ,637,637,626,633.65,629.55,629.7,629.77,658.5,473.9,"12,48,762","78,64,34,370.70","32,999"
04-Jun-25,EQ,637,641.6,622.95,632.4,633.9,633.65,630.17,658.5,473.9,"31,82,423","2,00,54,68,964.50","51,686"
03-Jun-25,EQ,651.9,658.5,630,646.25,632.5,632.4,646.15,658.5,473.9,"70,09,387","4,52,91,25,079.55","1,07,175"
02-Jun-25,EQ,620,652,616.25,616.6,643.9,646.25,640.34,652,473.9,"1,05,29,873","6,74,26,99,462.70","1,44,090"
30-May-25,EQ,604,628.95,597.65,601.05,614,616.6,617.81,632.7,473.9,"37,77,034","2,33,34,85,727.90","62,142"
29-May-25,EQ,612,612,597,608.15,601.25,601.05,601.11,632.7,473.9,"15,39,775","92,55,68,154.30","37,113"
28-May-25,EQ,598.4,609.7,595,597.55,608.25,608.15,604.37,632.7,473.9,"17,98,400","1,08,69,02,792.90","40,666"
27-May-25,EQ,597.85,599.3,586.25,594.85,595.3,597.55,593,632.7,473.9,"14,12,358","83,75,32,229.95","32,690"
26-May-25,EQ,595,601,591.3,594.1,595.2,594.85,596.08,632.7,473.9,"6,95,153","41,43,64,711.80","17,399"
23-May-25,EQ,595,597.5,590,592.4,596,594.1,593.24,632.7,473.9,"13,54,831","80,37,42,879.60","29,839"
22-May-25,EQ,601,605.15,587.5,601.7,592.25,592.4,595.32,632.7,473.9,"16,75,003","99,71,57,730.15","25,237"
21-May-25,EQ,610,612.8,595.05,610.75,600.9,601.7,604.35,632.7,473.9,"13,28,483","80,28,69,868.30","30,428"
20-May-25,EQ,617,617.95,600.05,611.5,610.9,610.75,608.31,632.7,473.9,"43,88,891","2,66,98,11,819.40","67,670"
19-May-25,EQ,596.25,619,595.45,594.55,612.05,611.5,610.34,632.7,473.9,"48,38,705","2,95,32,65,507.50","70,187"
16-May-25,EQ,588,598.4,588,588.9,594,594.55,594.48,632.7,473.9,"20,98,520","1,24,75,26,062.20","52,284"
15-May-25,EQ,586.5,590.25,578.2,584.7,588,588.9,586.32,632.7,473.9,"15,90,406","93,24,88,515.70","35,080"
14-May-25,EQ,581.9,590.95,576.9,580.85,583.75,584.7,583.48,632.7,473.9,"27,49,158","1,60,40,85,743.00","37,776"
13-May-25,EQ,570,585.65,569,572.1,579.4,580.85,580.13,632.7,473.9,"23,74,367","1,37,74,50,843.40","49,815"
12-May-25,EQ,573,575.5,563,552.05,573.45,572.1,570.85,632.7,473.9,"13,42,420","76,63,22,725.85","26,407"
09-May-25,EQ,548,560.85,546.1,553.95,553.4,552.05,553.96,632.7,473.9,"10,07,328","55,80,24,416.50","27,576"
08-May-25,EQ,560,572,550,558.3,551.25,553.95,564.25,632.7,473.9,"19,53,966","1,10,25,30,952.95","50,825"
07-May-25,EQ,559,569.3,552.05,561.45,558,558.3,558.16,632.7,473.9,"18,57,497","1,03,67,85,103.40","38,833"
06-May-25,EQ,579.4,583,557,576.5,559.1,561.45,564.84,632.7,473.9,"21,58,268","1,21,90,84,700.45","35,827"
05-May-25,EQ,569,584.35,558.2,558.1,578,576.5,573.39,632.7,473.9,"56,03,760","3,21,31,15,448.40","87,600"
02-May-25,EQ,566.3,575.55,551.7,565.8,556.6,558.1,564.38,632.7,473.9,"16,52,336","93,25,38,342.85","34,060"
30-Apr-25,EQ,578,578.95,562.2,577.35,562.8,565.8,571.44,632.7,473.9,"10,69,116","61,09,37,200.45","30,572"
29-Apr-25,EQ,592.55,599.9,575.5,586.3,576,577.35,585.04,632.7,473.9,"20,02,110","1,17,13,18,014.50","48,891"
28-Apr-25,EQ,570,588.4,568.3,569.2,584,586.3,582.4,632.7,473.9,"26,78,714","1,56,00,85,295.05","59,071"
25-Apr-25,EQ,574,582.3,560.6,574.05,566.95,569.2,569.79,632.7,473.9,"23,44,129","1,33,56,70,351.90","83,714"
24-Apr-25,EQ,582,584.6,572.1,582.1,572.3,574.05,575.62,632.7,473.9,"17,28,763","99,51,07,241.15","26,506"
23-Apr-25,EQ,585.65,587.7,572.3,582.8,580.05,582.1,580.44,632.7,473.9,"18,59,234","1,07,91,74,998.20","41,363"
22-Apr-25,EQ,580.75,594.8,576.45,577.55,583,582.8,588.61,632.7,473.9,"32,84,998","1,93,35,79,968.65","57,937"
21-Apr-25,EQ,577.75,593,576.05,575.2,577,577.55,583.71,632.7,473.9,"29,91,211","1,74,59,99,252.20","81,565"
17-Apr-25,EQ,569,576.7,563.65,568.15,573.1,575.2,571.26,632.7,473.9,"25,06,225","1,43,17,10,999.55","51,017"
16-Apr-25,EQ,542.5,569.9,541.5,541.25,567.3,568.15,561.31,632.7,473.9,"38,09,999","2,13,85,74,563.40","74,761"
15-Apr-25,EQ,542.1,545.5,534.2,535.8,540.4,541.25,539.81,632.7,473.9,"12,40,576","66,96,72,449.00","34,047"
11-Apr-25,EQ,533,541.2,529,526.95,534.1,535.8,534.46,632.7,473.9,"5,80,633","31,03,24,665.40","17,092"
09-Apr-25,EQ,545,548,524.45,547.05,526.5,526.95,532.55,632.7,473.9,"9,21,093","49,05,24,852.20","34,714"
08-Apr-25,EQ,538,551.7,537.95,539.45,546.9,547.05,543.97,632.7,473.9,"12,95,542","70,47,33,332.60","28,960"
07-Apr-25,EQ,530.2,541.4,517.85,546.05,541.3,539.45,532.58,632.7,473.9,"16,76,126","89,26,65,737.85","49,779"
04-Apr-25,EQ,549.95,553.65,541.2,549.2,546.2,546.05,546.57,632.7,473.9,"24,01,304","1,31,24,78,540.45","97,561"
03-Apr-25,EQ,520.15,556.4,520.15,529.7,550.5,549.2,547.15,632.7,473.9,"23,66,229","1,29,46,91,754.50","55,822"
02-Apr-25,EQ,533.45,535.15,524.35,530.95,529.75,529.7,530.1,632.7,473.9,"8,97,394","47,57,10,874.35","27,593"
01-Apr-25,EQ,539.85,540.5,527.2,541.3,528.8,530.95,534.38,632.7,473.9,"7,03,422","37,58,97,189.55","18,644"
28-Mar-25,EQ,552,556.9,538,552.9,540.5,541.3,547.28,632.7,473.9,"13,78,507","75,44,32,823.40","38,065"
27-Mar-25,EQ,538.55,558,536.65,542.75,550,552.9,547.71,632.7,473.9,"18,97,252","1,03,91,45,035.20","57,040"
26-Mar-25,EQ,543.05,555,538.55,543.05,543,542.75,547.68,632.7,473.9,"15,27,225","83,64,30,890.95","50,068"
25-Mar-25,EQ,552.1,554,538.85,548,543.55,543.05,543.53,632.7,473.9,"13,05,071","70,93,43,784.40","38,137"
24-Mar-25,EQ,553,555.95,545.8,547.95,548.05,548,548.76,632.7,473.9,"11,02,197","60,48,45,777.80","33,933"
