"Date","series ","OPEN","HIGH","LOW","PREV. CLOSE","ltp ","Close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Jul-2025","EQ","275.30","275.95","267.50","273.95","273.20","273.05","271.00","277.50","185.55","44,70,824","1,21,15,76,653.50","56,916"
"01-Jul-2025","EQ","268.40","277.50","267.00","267.54","275.00","273.95","273.14","277.50","185.55","80,55,267","2,20,02,21,458.05","58,433"
"30-Jun-2025","EQ","259.92","268.80","259.00","256.91","267.98","267.54","266.00","268.80","185.55","90,14,711","2,39,79,33,214.53","67,391"
"27-Jun-2025","EQ","250.80","260.50","248.60","249.82","255.00","256.91","256.29","260.50","185.55","72,52,331","1,85,86,70,037.93","51,022"
"26-Jun-2025","EQ","249.64","251.00","246.33","248.07","250.00","249.82","249.08","253.50","185.55","25,03,962","62,36,79,736.65","32,354"
"25-Jun-2025","EQ","250.75","252.40","246.60","248.63","246.99","248.07","249.61","253.50","185.55","25,44,678","63,51,88,148.13","20,467"
"24-Jun-2025","EQ","247.27","252.00","245.60","245.69","249.00","248.63","249.24","253.50","185.55","27,25,898","67,94,02,138.19","37,557"
"23-Jun-2025","EQ","244.05","249.50","244.00","247.27","246.00","245.69","245.76","253.50","185.55","13,84,860","34,03,48,155.64","15,559"
"20-Jun-2025","EQ","242.30","249.10","241.42","243.39","247.01","247.27","247.27","253.50","185.55","20,21,564","49,98,64,345.52","22,730"
"19-Jun-2025","EQ","248.78","249.35","240.65","247.47","243.55","243.39","244.17","253.50","185.55","12,09,754","29,53,87,913.17","18,589"
"18-Jun-2025","EQ","246.00","250.00","242.66","246.79","247.20","247.47","247.82","253.50","185.55","24,37,260","60,40,06,949.46","31,770"
"17-Jun-2025","EQ","250.00","251.00","243.08","248.55","246.80","246.79","246.53","253.50","185.55","20,81,970","51,32,68,636.13","23,842"
"16-Jun-2025","EQ","248.00","253.50","245.51","247.77","247.95","248.55","249.67","253.50","185.55","57,78,030","1,44,25,84,328.45","54,642"
"13-Jun-2025","EQ","237.00","249.90","235.10","240.85","247.79","247.77","246.86","249.90","185.55","56,98,144","1,40,66,57,564.35","69,370"
"12-Jun-2025","EQ","241.68","244.95","239.95","239.55","240.16","240.85","242.72","246.00","185.55","34,01,435","82,56,10,742.92","48,288"
"11-Jun-2025","EQ","238.10","245.00","235.85","237.29","240.25","239.55","240.09","246.00","185.55","51,14,354","1,22,78,82,937.95","38,591"
"10-Jun-2025","EQ","238.27","239.80","236.77","237.13","237.24","237.29","237.80","246.00","185.55","12,39,669","29,47,91,774.24","17,189"
"09-Jun-2025","EQ","238.30","241.32","234.63","238.03","237.04","237.13","237.12","246.00","185.55","19,68,798","46,68,35,773.24","26,489"
"06-Jun-2025","EQ","231.70","238.88","230.48","231.58","238.00","238.03","234.99","246.00","164.10","31,95,295","75,08,54,340.92","40,743"
"05-Jun-2025","EQ","229.61","233.75","228.00","229.51","231.50","231.58","231.17","246.00","164.10","13,15,527","30,41,09,510.03","23,348"
"04-Jun-2025","EQ","235.40","237.77","229.08","235.64","229.70","229.51","231.58","246.00","164.10","23,35,361","54,08,31,992.72","29,414"
"03-Jun-2025","EQ","239.51","241.46","234.47","239.66","234.99","235.64","238.44","246.00","164.10","46,90,293","1,11,83,42,408.38","63,849"
"02-Jun-2025","EQ","222.39","241.50","221.69","221.69","238.46","239.66","236.17","246.00","164.10","1,34,77,673","3,18,30,42,918.94","1,28,235"
"30-May-2025","EQ","223.00","223.65","218.34","221.51","222.00","221.69","221.30","246.00","164.10","24,16,907","53,48,61,864.26","18,258"
"29-May-2025","EQ","223.00","223.85","218.10","222.35","221.44","221.51","220.56","246.00","164.10","17,23,223","38,00,78,238.68","22,919"
"28-May-2025","EQ","228.00","228.00","221.00","226.77","222.25","222.35","223.09","246.00","164.10","17,46,320","38,95,92,279.88","28,757"
"27-May-2025","EQ","228.00","228.15","225.10","229.62","227.14","226.77","226.51","246.00","164.10","7,93,817","17,98,10,975.14","13,829"
"26-May-2025","EQ","228.00","230.75","226.00","226.20","228.48","229.62","229.59","246.00","164.10","20,32,271","46,65,97,122.01","20,219"
"23-May-2025","EQ","222.02","226.90","220.55","221.89","226.20","226.20","225.09","246.00","164.10","12,64,511","28,46,29,143.68","32,643"
"22-May-2025","EQ","225.00","226.30","220.55","226.53","222.00","221.89","222.61","246.00","164.10","12,85,383","28,61,33,420.39","24,548"
"21-May-2025","EQ","231.00","231.48","225.10","228.23","226.00","226.53","227.24","246.00","164.10","29,94,653","68,04,97,692.42","25,940"
"20-May-2025","EQ","229.00","234.80","225.00","225.47","228.80","228.23","229.89","246.00","164.10","64,04,087","1,47,22,08,578.06","76,737"
"19-May-2025","EQ","228.53","229.00","224.45","225.75","225.60","225.47","226.65","246.00","164.10","18,26,083","41,38,81,852.40","20,550"
"16-May-2025","EQ","221.79","226.31","221.71","220.52","225.16","225.75","224.15","246.00","164.10","17,94,168","40,21,62,657.29","29,988"
"15-May-2025","EQ","221.82","222.41","218.75","222.18","220.15","220.52","220.28","246.00","164.10","9,06,444","19,96,69,871.98","17,936"
"14-May-2025","EQ","219.00","223.00","216.03","219.32","221.20","222.18","221.17","246.00","164.10","21,83,201","48,28,53,352.32","25,001"
"13-May-2025","EQ","211.90","219.90","210.60","211.23","219.02","219.32","215.82","246.00","164.10","23,59,900","50,93,03,549.53","36,264"
