Date,series ,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02-Jul-25,EQ,821,824.05,809,820.3,812.7,812.9,814.81,899,680,"66,61,200","5,42,75,83,829.55","1,21,545"
01-Jul-25,EQ,820,824.9,813.25,820.35,820.2,820.3,819.76,899,680,"1,14,56,405","9,39,14,84,331.05","1,57,197"
30-Jun-25,EQ,809,821,807.05,805.4,819.85,820.35,816.64,899,680,"1,96,52,607","16,04,91,37,157.55","2,49,562"
27-Jun-25,EQ,805,809.45,802.65,797.05,804.55,805.4,805.86,899,680,"1,93,75,990","15,61,42,54,535.75","2,62,127"
26-Jun-25,EQ,802,803.35,791.4,800.05,796.05,797.05,795.08,899,680,"2,47,04,402","19,64,19,48,457.00","2,08,543"
25-Jun-25,EQ,799.5,803.8,796.1,795.4,800,800.05,799.91,899,680,"65,28,324","5,22,20,95,310.00","1,31,096"
24-Jun-25,EQ,799,806.65,793.65,790.2,795.75,795.4,799.6,899,680,"1,14,02,190","9,11,71,65,780.85","1,84,002"
23-Jun-25,EQ,790,794.95,788.5,796.15,790,790.2,791.21,899,680,"55,49,253","4,39,06,04,870.65","1,31,841"
20-Jun-25,EQ,787.5,799.45,786.1,785.1,795.25,796.15,794.39,899,680,"1,13,67,669","9,03,03,30,594.45","1,69,215"
19-Jun-25,EQ,792.35,793.25,781.7,791.9,782.6,785.1,786.26,899,680,"1,18,24,333","9,29,70,45,726.70","2,89,212"
18-Jun-25,EQ,792.5,795.5,788.35,792.3,790.4,791.9,791.48,899,680,"57,10,169","4,51,95,00,759.90","1,36,624"
17-Jun-25,EQ,794,798.85,790.55,792.5,792.05,792.3,794.06,899,680,"77,53,156","6,15,64,66,697.60","1,15,931"
16-Jun-25,EQ,792.5,795.4,786.15,792.35,793,792.5,791.28,899,680,"80,85,001","6,39,74,93,172.15","1,57,361"
13-Jun-25,EQ,786.25,796.3,786.25,805.95,793.3,792.35,792.35,899,680,"1,13,77,117","9,01,46,34,064.30","1,96,572"
12-Jun-25,EQ,816,816.5,801.2,815.05,804,805.95,809.23,899,680,"1,34,48,521","10,88,29,09,973.85","1,54,034"
11-Jun-25,EQ,817,820.6,813.05,817.05,814.4,815.05,817.21,899,680,"71,97,825","5,88,21,09,303.90","1,09,100"
10-Jun-25,EQ,821,822.05,814.6,820.05,817,817.05,818.07,899,680,"65,60,513","5,36,69,31,400.75","1,73,698"
09-Jun-25,EQ,817.4,824.5,815.7,813.05,820,820.05,820.86,899,680,"1,27,93,040","10,50,13,57,386.30","1,95,288"
06-Jun-25,EQ,806.65,816.45,803.1,806,812.65,813.05,811.87,912,680,"1,71,63,935","13,93,49,18,691.45","2,02,699"
05-Jun-25,EQ,808.7,811.7,802.85,806.5,806.8,806,806.79,912,680,"1,35,95,507","10,96,86,53,855.65","1,76,672"
04-Jun-25,EQ,817,817,805.25,809.8,805.5,806.5,808.79,912,680,"96,07,927","7,77,08,21,872.90","1,36,010"
03-Jun-25,EQ,816.2,818.4,805.15,813.65,808.2,809.8,811.05,912,680,"1,42,47,597","11,55,54,79,376.75","1,75,051"
02-Jun-25,EQ,812.85,822.55,809.2,812.3,813.5,813.65,814.73,912,680,"2,68,91,575","21,90,93,10,086.45","2,18,771"
