Date,series ,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02-Jul-25,EQ,20.5,20.5,20.18,20.43,20.3,20.28,20.32,27.44,16.02,"5,73,91,538","1,16,59,46,522.56","1,14,090"
01-Jul-25,EQ,20.4,20.48,20.15,20.34,20.43,20.43,20.35,27.44,16.02,"7,91,99,190","1,61,19,20,670.53","97,432"
30-Jun-25,EQ,20.22,20.6,20.21,20.18,20.36,20.34,20.42,27.44,16.02,"9,65,13,607","1,97,11,54,216.35","91,437"
27-Jun-25,EQ,20.1,20.49,20.1,20.08,20.22,20.18,20.29,27.44,16.02,"10,51,12,009","2,13,29,05,504.06","89,915"
26-Jun-25,EQ,20.26,20.31,20.02,20.23,20.11,20.08,20.11,27.44,16.02,"8,90,18,955","1,79,04,70,631.07","81,158"
25-Jun-25,EQ,19.97,20.28,19.97,19.97,20.22,20.23,20.13,27.44,16.02,"10,24,24,811","2,06,18,12,901.31","84,737"
24-Jun-25,EQ,20.06,20.17,19.94,19.88,19.95,19.97,20.05,27.44,16.02,"11,13,85,760","2,23,29,39,305.94","85,058"
23-Jun-25,EQ,19.72,19.96,19.62,19.73,19.95,19.88,19.83,27.44,16.02,"8,46,83,129","1,67,90,36,283.65","85,614"
20-Jun-25,EQ,19.41,19.82,19.4,19.41,19.78,19.73,19.69,27.44,16.02,"13,75,35,775","2,70,74,81,294.82","86,264"
19-Jun-25,EQ,19.89,19.95,19.32,19.89,19.42,19.41,19.53,27.44,16.02,"12,11,08,336","2,36,56,85,498.75","1,20,120"
18-Jun-25,EQ,19.94,20.13,19.74,19.94,19.9,19.89,19.95,27.44,16.02,"7,09,42,059","1,41,51,66,661.15","81,155"
17-Jun-25,EQ,20.24,20.34,19.81,20.24,19.89,19.94,20.06,27.44,16.02,"10,69,40,351","2,14,50,33,524.99","1,05,069"
16-Jun-25,EQ,20.2,20.42,19.87,20.16,20.26,20.24,20.16,27.44,16.02,"12,71,18,891","2,56,27,83,573.08","1,07,059"
13-Jun-25,EQ,20,20.29,19.92,20.42,20.24,20.16,20.14,27.44,16.02,"8,67,16,463","1,74,66,65,006.33","94,005"
12-Jun-25,EQ,20.71,20.76,20.36,20.71,20.41,20.42,20.57,27.44,16.02,"7,54,98,210","1,55,31,30,445.44","89,106"
11-Jun-25,EQ,20.85,21.08,20.68,20.83,20.72,20.71,20.84,27.44,16.02,"8,75,51,682","1,82,41,57,382.34","92,436"
10-Jun-25,EQ,21.09,21.09,20.81,21.02,20.85,20.83,20.93,27.44,16.02,"8,37,41,142","1,75,24,46,780.55","95,970"
09-Jun-25,EQ,20.97,21.12,20.95,20.85,21.03,21.02,21.05,27.44,16.02,"7,94,44,934","1,67,23,23,695.72","92,366"
06-Jun-25,EQ,20.95,21.08,20.78,20.93,20.89,20.85,20.92,27.44,16.02,"11,21,53,888","2,34,61,23,628.12","1,10,482"
05-Jun-25,EQ,21.29,21.29,20.89,21.14,20.99,20.93,21,27.44,16.02,"11,71,10,247","2,45,89,65,662.61","1,05,417"
04-Jun-25,EQ,21.1,21.36,20.74,20.86,21.15,21.14,21.05,27.44,16.02,"24,69,58,946","5,19,83,13,031.30","1,76,565"
03-Jun-25,EQ,22.93,22.93,20.71,23.28,20.95,20.86,21.44,27.44,16.02,"1,42,56,54,994","30,57,19,12,503.42","4,24,375"
02-Jun-25,EQ,21.4,23.39,21.35,21.48,23.22,23.28,22.74,27.44,16.02,"55,62,13,846","12,64,73,72,163.14","3,69,848"
30-May-25,EQ,21.34,21.65,21.02,21.31,21.47,21.48,21.36,27.44,16.02,"15,62,24,502","3,33,70,05,975.83","1,01,081"
29-May-25,EQ,21.21,21.36,21.09,21.11,21.29,21.31,21.22,27.44,16.02,"7,65,89,813","1,62,52,74,536.16","70,505"
28-May-25,EQ,21.13,21.43,21.07,21.13,21.11,21.11,21.25,27.44,16.02,"7,61,78,634","1,61,88,88,349.86","76,321"
27-May-25,EQ,20.99,21.2,20.87,20.99,21.14,21.13,21.08,27.44,16.02,"7,90,24,752","1,66,55,10,477.24","79,163"
26-May-25,EQ,21.21,21.22,20.95,21.15,21,20.99,21.08,27.44,16.02,"5,96,11,150","1,25,64,61,219.47","73,204"
23-May-25,EQ,20.98,21.23,20.87,20.97,21.12,21.15,21.09,27.44,16.02,"8,40,46,831","1,77,29,06,172.85","75,282"
22-May-25,EQ,20.99,21.24,20.78,20.98,21,20.97,21,27.44,16.02,"8,41,94,525","1,76,76,94,839.12","85,617"
21-May-25,EQ,20.83,21.1,20.63,20.82,21.06,20.98,20.87,27.44,16.02,"10,31,11,472","2,15,19,06,559.19","86,087"
20-May-25,EQ,21.24,21.4,20.78,21.2,20.84,20.82,21.07,27.44,16.02,"11,60,09,986","2,44,41,97,478.88","1,05,168"
19-May-25,EQ,21.56,21.68,21.15,21.55,21.17,21.2,21.4,27.44,16.02,"14,65,27,941","3,13,52,70,732.11","1,36,190"
16-May-25,EQ,21.5,21.95,21.25,21.51,21.56,21.55,21.65,27.44,16.02,"19,34,27,371","4,18,68,76,909.57","1,54,940"
15-May-25,EQ,21.1,21.7,20.96,20.96,21.53,21.51,21.45,27.44,16.02,"26,47,56,782","5,67,87,66,907.89","1,91,012"
14-May-25,EQ,21.29,21.29,20.69,20.87,20.99,20.96,20.92,27.44,16.02,"20,18,82,995","4,22,33,55,163.40","1,46,901"
13-May-25,EQ,20.5,21.39,20.26,20.41,20.93,20.87,20.81,27.44,16.02,"28,53,54,139","5,93,88,62,810.21","2,16,419"
12-May-25,EQ,21.7,21.7,20.3,20.02,20.49,20.41,20.65,27.44,16.02,"52,75,32,441","10,89,33,51,433.13","2,93,101"
09-May-25,EQ,17.8,20.37,17.77,18.23,20.05,20.02,19.45,27.44,16.02,"72,80,05,767","14,16,09,01,448.05","3,47,439"
08-May-25,EQ,18.35,18.81,18.15,18.27,18.18,18.23,18.51,27.44,16.02,"15,75,15,725","2,91,56,60,732.76","1,10,516"
07-May-25,EQ,17.87,18.38,17.73,17.93,18.35,18.27,18.07,27.44,16.02,"14,07,82,313","2,54,39,46,132.94","1,04,856"
06-May-25,EQ,19.24,19.44,17.88,17.73,17.98,17.93,18.46,27.44,16.02,"48,07,14,088","8,87,52,96,490.81","2,21,739"
05-May-25,EQ,17.7,17.84,17.51,17.7,17.74,17.73,17.71,27.44,16.02,"4,93,26,496","87,34,26,305.08","64,078"
02-May-25,EQ,17.72,17.99,17.63,17.72,17.7,17.7,17.82,28.55,16.02,"5,58,35,375","99,49,27,491.22","66,448"
30-Apr-25,EQ,17.98,18.03,17.64,17.99,17.71,17.72,17.82,28.55,16.02,"5,49,58,582","97,91,89,594.96","64,072"
29-Apr-25,EQ,18.25,18.39,17.93,18.09,18.01,17.99,18.11,28.55,16.02,"5,98,29,539","1,08,37,29,488.76","67,892"
28-Apr-25,EQ,17.78,18.16,17.71,17.77,18.09,18.09,17.98,28.55,16.02,"7,34,49,583","1,32,05,46,782.51","76,747"
25-Apr-25,EQ,18.45,18.54,17.62,18.43,17.77,17.77,17.93,28.55,16.02,"10,93,27,218","1,95,98,99,113.46","94,311"
24-Apr-25,EQ,18.4,18.66,18.33,18.42,18.43,18.43,18.51,28.55,16.02,"6,51,82,036","1,20,64,49,272.11","68,092"
23-Apr-25,EQ,18.81,18.82,18.16,18.69,18.47,18.42,18.41,28.55,16.02,"8,95,19,210","1,64,78,71,201.98","83,695"
22-Apr-25,EQ,18.94,18.99,18.64,18.82,18.67,18.69,18.82,28.55,16.02,"7,60,60,910","1,43,15,90,941.50","86,630"
21-Apr-25,EQ,19.14,19.35,18.78,18.09,18.84,18.82,18.96,28.55,16.02,"21,21,02,753","4,02,21,55,986.02","1,52,971"
17-Apr-25,EQ,17.84,18.15,17.72,17.87,18.07,18.09,18,28.55,16.02,"9,92,08,246","1,78,57,57,205.95","79,399"
